,Region,Year,Average BMI (kg/m²)
233,Western Pacific,1998,25.9962962962963
234,Western Pacific,1999,26.081481481481482
235,Western Pacific,2000,26.14814814814815
236,Western Pacific,2001,26.225925925925928
237,Western Pacific,2002,26.285185185185178
238,Western Pacific,2003,26.35555555555555
239,Western Pacific,2004,26.42962962962963
240,Western Pacific,2005,26.4962962962963
241,Western Pacific,2006,26.559259259259264
242,Western Pacific,2007,26.625925925925937
243,Western Pacific,2008,26.7037037037037
244,Western Pacific,2009,26.770370370370365
245,Western Pacific,2010,26.82592592592592
246,Western Pacific,2011,26.91481481481481
247,Western Pacific,2012,26.96666666666667
248,Western Pacific,2013,27.040740740740745
249,Western Pacific,2014,27.11851851851852
250,Western Pacific,2015,27.17777777777778
251,Western Pacific,2016,27.259259259259263
